index,nome_sub_familia,quantidade,total_qtd,percent_qtd
80,CREME DE PENTEAR,111.0,572621.6050000001,0.019384528811133485
125,FILMES PVC,110.0,572621.6050000001,0.019209893416438587
119,FARINHAS P/MINGAU,105.0,572621.6050000001,0.01833671644296411
108,ESCOVA DENTAL,99.0,572621.6050000001,0.01728890407479473
281,TINTURA,98.0,572621.6050000001,0.017114268680099833
17,ALUMINIO/INOX/FERRO,96.0,572621.6050000001,0.01676499789071004
253,SALAME P/FATIAR,91.76199999999984,572621.6050000001,0.016024893087993045
131,FRALDAS DESCARTAVEIS,91.0,572621.6050000001,0.01589182091723556
146,GROSELHA,89.0,572621.6050000001,0.015542550127845767
175,LIMPA VIDROS/ALUMINI,85.0,572621.6050000001,0.014844008549066182
86,CREMES TEMPERADOS,85.0,572621.6050000001,0.014844008549066182
127,FIO DENTAL,84.0,572621.6050000001,0.014669373154371286
137,GEL,83.0,572621.6050000001,0.01449473775967639
283,TOMATE SECO/PELADO,83.0,572621.6050000001,0.01449473775967639
11,ALGODAO,82.0,572621.6050000001,0.014320102364981494
259,SAZONAIS,79.30199999999998,572621.6050000001,0.013848936070094658
26,AUTOMOTIVOS,78.0,572621.6050000001,0.01362156078620191
248,SACO E.TUDO/CELOFANE,78.0,572621.6050000001,0.01362156078620191
232,QUEIJO M.FRESCAL,73.887,572621.6050000001,0.012903285407821801
155,INSETICIDAS/ANTI-MOFO,70.0,572621.6050000001,0.01222447762864274
178,LIMPADOR LIMP.PESADA,70.0,572621.6050000001,0.01222447762864274
185,LUSTRA MOVEIS,70.0,572621.6050000001,0.01222447762864274
144,GRANULADOS /CONFEITO,69.0,572621.6050000001,0.012049842233947842
75,CONSERVAS,66.0,572621.6050000001,0.011525936049863152
189,MAMADEIRA / CHUPETAS,65.0,572621.6050000001,0.011351300655168258
9,ALCAPARRAS,63.0,572621.6050000001,0.011002029865778465
270,SUCOS CONCENTRADOS,62.0,572621.6050000001,0.010827394471083569
95,DESODORANTE SPRAY,58.0,572621.6050000001,0.010128852892303983
56,CERA LIQ/CERA PASTA,56.0,572621.6050000001,0.009779582102914191
227,PURE,56.0,572621.6050000001,0.009779582102914191
54,CATUABA,53.0,572621.6050000001,0.009255675918829502
122,FEIJOADA,49.0,572621.6050000001,0.008557134340049916
285,TRIGO P/KIBE,48.0,572621.6050000001,0.00838249894535502
112,ESSENCIAS,46.0,572621.6050000001,0.008033228155965228
36,BISCOITOS AMANTEIGADOS,46.0,572621.6050000001,0.008033228155965228
150,HIDRATANTE,45.0,572621.6050000001,0.007858592761270333
77,COQUETEIS,45.0,572621.6050000001,0.007858592761270333
257,SAPONACEOS,42.0,572621.6050000001,0.007334686577185643
109,ESMALTES,42.0,572621.6050000001,0.007334686577185643
132,FRIOS ESPECIAIS,37.103,572621.6050000001,0.006479497049364736
279,TENDER/LOMBO,35.4,572621.6050000001,0.006182092972199326
198,OLEO COMPOSTO,35.0,572621.6050000001,0.00611223881432137
262,SIDRA,34.0,572621.6050000001,0.005937603419626473
215,PEITO DE PERU,33.81600000000001,572621.6050000001,0.005905470507002613
282,TIRA MANCHAS,32.0,572621.6050000001,0.00558833263023668
74,CONHAQUE,32.0,572621.6050000001,0.00558833263023668
129,FORMA,31.0,572621.6050000001,0.005413697235541784
14,ALIMENTO GATOS,30.0,572621.6050000001,0.005239061840846888
255,SALGADOS,29.974,572621.6050000001,0.005234521320584821
